Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
2.021E+11,17,11,2021,17:01:00,2,36,36044,2,2,1,5,NULL,"468,095,700,000","16,701,700,000",2.021E+11,201 320,A01,1,1,0,2,1,19,5,NULL,2.021E+11,267 002,201 320,A01,1,1,4,1,2008,5,8,0,-1,-1,-1,-1,2.021E+11,4,NULL,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,9,0,1,50
2.021E+11,17,11,2021,17:01:00,2,36,36044,2,2,1,5,NULL,"468,095,700,000","16,701,700,000",2.021E+11,201 321,B01,1,1,0,2,1,19,5,NULL,2.021E+11,267 003,201 321,B01,1,1,4,1,2008,5,8,0,-1,-1,-1,-1,2.021E+11,4,NULL,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,9,0,1,50
2.021E+11,17,11,2021,17:01:00,2,36,36044,2,2,1,5,NULL,"468,095,700,000","16,701,700,000",2.021E+11,201 320,A01,1,1,0,2,1,19,5,NULL,2.021E+11,267 003,201 321,B01,1,1,4,1,2008,5,8,0,-1,-1,-1,-1,2.021E+11,4,NULL,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,9,0,1,50
2.021E+11,14,5,2021,12:21:00,1,78,78172,1,1,2,2,BRETELLE ACCES RD203/RN184 ,"490,020,710,000","20,815,830,000",2.021E+11,201 277,A01,1,1,0,2,4,11,5,NULL,2.021E+11,266 940,201 277,A01,1,1,4,1,1940,5,8,0,-1,-1,-1,-1,2.021E+11,2,BRETELLE ACCES RD203/RN184,0,NULL,3,4,0,1,23,770,1,NULL,-1,2,0,1,90
2.021E+11,14,5,2021,12:21:00,1,78,78172,1,1,2,2,BRETELLE ACCES RD203/RN184 ,"490,020,710,000","20,815,830,000",2.021E+11,201 277,A01,1,1,0,2,4,11,5,NULL,2.021E+11,266 941,201 278,B01,1,1,1,1,1992,4,1,0,-1,-1,-1,-1,2.021E+11,2,BRETELLE ACCES RD203/RN184,0,NULL,3,4,0,1,23,770,1,NULL,-1,2,0,1,90
2.021E+11,21,10,2021,17:55:00,1,69,69386,2,1,1,2,CREQUI (DE) (R),"457,761,264,739","48,446,971,178",2.021E+11,201 276,B01,2,1,0,2,4,26,0,NULL,2.021E+11,266 938,201 275,A01,1,1,1,1,1956,0,1,-1,-1,-1,-1,-1,2.021E+11,4,CREQUI (DE)                         (R ),0,NULL,1,1,2,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,21,10,2021,17:55:00,1,69,69386,2,1,1,2,CREQUI (DE) (R),"457,761,264,739","48,446,971,178",2.021E+11,201 276,B01,2,1,0,2,4,26,0,NULL,2.021E+11,266 939,201 276,B01,1,1,4,2,1966,0,2,4,-1,-1,-1,-1,2.021E+11,4,CREQUI (DE)                         (R ),0,NULL,1,1,2,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,8,10,2021,09:50:00,1,69,69386,2,1,1,6,MARECHAL LYAUTEY (PL),"457,677,673,652","48,423,796,892",2.021E+11,201 274,A01,3,1,0,1,0,2,0,NULL,2.021E+11,266 936,201 274,A01,10,3,4,2,1966,0,8,-1,-1,1,3,1,2.021E+11,4,MARECHAL LYAUTEY (DU)               (PL),0,NULL,1,1,2,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,8,10,2021,09:50:00,1,69,69386,2,1,1,6,MARECHAL LYAUTEY (PL),"457,677,673,652","48,423,796,892",2.021E+11,201 274,A01,3,1,0,1,0,2,0,NULL,2.021E+11,266 937,201 274,A01,1,1,1,-1,NULL,-1,8,-1,-1,-1,-1,-1,2.021E+11,4,MARECHAL LYAUTEY (DU)               (PL),0,NULL,1,1,2,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,18,9,2021,20:33:00,2,38,38544,2,3,1,3,VIADUC(RUE DU),"455,334,100,000","48,738,200,000",2.021E+11,201 231,B01,1,1,0,2,1,2,5,NULL,2.021E+11,266 884,201 231,B01,1,1,4,1,2014,5,8,0,-1,-1,-1,-1,2.021E+11,4,VIADUC(RUE DU),0,NULL,2,1,0,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,18,9,2021,20:33:00,2,38,38544,2,3,1,3,VIADUC(RUE DU),"455,334,100,000","48,738,200,000",2.021E+11,201 231,B01,1,1,0,2,1,2,5,NULL,2.021E+11,266 885,201 232,A01,1,1,1,1,2000,4,1,0,-1,-1,-1,-1,2.021E+11,4,VIADUC(RUE DU),0,NULL,2,1,0,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,9,9,2021,07:45:00,1,69,69383,2,2,8,3,CREQUI (DE) (R),"457,532,410,000","48,490,000,000",2.021E+11,201 216,A01,1,1,0,2,7,19,5,NULL,2.021E+11,266 853,201 215,B01,1,1,4,1,1970,1,2,6,-1,-1,-1,-1,2.021E+11,4,CREQUI (DE)                         (R ),0,NULL,1,1,2,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,9,9,2021,07:45:00,1,69,69383,2,2,8,3,CREQUI (DE) (R),"457,532,410,000","48,490,000,000",2.021E+11,201 216,A01,1,1,0,2,7,19,5,NULL,2.021E+11,266 854,201 216,A01,1,1,4,1,1984,0,8,-1,-1,-1,-1,-1,2.021E+11,4,CREQUI (DE)                         (R ),0,NULL,1,1,2,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,12,11,2021,20:25:00,5,69,69383,2,2,1,3,GAMBETTA (CR),"457,562,700,000","48,403,700,000",2.021E+11,201 199,B01,2,1,0,2,8,15,5,NULL,2.021E+11,266 835,201 199,B01,1,1,4,2,1996,0,0,-1,-1,-1,-1,-1,2.021E+11,4,GAMBETTA                            (CO),0,NULL,2,2,2,1,-1,-1,1,NULL,-1,1,0,1,30
2.021E+11,12,11,2021,20:25:00,5,69,69383,2,2,1,3,GAMBETTA (CR),"457,562,700,000","48,403,700,000",2.021E+11,201 199,B01,2,1,0,2,8,15,5,NULL,2.021E+11,266 836,201 200,A01,2,2,1,2,1976,0,1,-1,-1,-1,-1,-1,2.021E+11,4,GAMBETTA                            (CO),0,NULL,2,2,2,1,-1,-1,1,NULL,-1,1,0,1,30
2.021E+11,12,11,2021,20:25:00,5,69,69383,2,2,1,3,GAMBETTA (CR),"457,562,700,000","48,403,700,000",2.021E+11,201 199,B01,2,1,0,2,8,15,5,NULL,2.021E+11,266 837,201 200,A01,1,1,1,1,1974,0,8,-1,-1,-1,-1,-1,2.021E+11,4,GAMBETTA                            (CO),0,NULL,2,2,2,1,-1,-1,1,NULL,-1,1,0,1,30
2.021E+11,13,11,2021,16:30:00,2,69,69386,2,1,1,3,JULES FERRY (PL),"457,670,000,000","48,590,000,000",2.021E+11,201 197,A01,3,1,0,2,7,19,5,NULL,2.021E+11,266 833,201 197,A01,1,1,4,1,1962,0,8,-1,-1,-1,-1,-1,2.021E+11,4,JULES FERRY                         (PL),0,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,50
