Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 935,E01,1,1,0,2,1,2,5,NULL,202000000189,154 741 938,D01,1,1,4,1,1948,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 939,A01,1,1,0,2,1,1,5,NULL,202000000189,154 741 939,A01,1,1,4,2,1989,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 938,D01,1,1,0,2,1,1,5,NULL,202000000189,154 741 939,A01,1,1,4,2,1989,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 937,C01,1,1,0,2,1,2,5,NULL,202000000189,154 741 939,A01,1,1,4,2,1989,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 936,B01,1,1,0,2,1,1,5,NULL,202000000189,154 741 939,A01,1,1,4,2,1989,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000189,20,9,2020,11:50:00,1,64,64483,2,1,1,5,"CHANTACO (AVENUE DE )","43,3737000"," -1,6378600",202000000189,154 741 935,E01,1,1,0,2,1,2,5,NULL,202000000189,154 741 939,A01,1,1,4,2,1989,5,2,0,-1,-1," -1",-1,202000000189,3,"CHANTACO (AVENUE DE )",0,NULL,2,2,0,1,3,0,1,NULL," -1",1,0,1,70
202000000197,20,9,2020,09:45:00,1,13,13002,2,1,8,1,"QUATRE SAISONS (ROUTE DES)","43,3239140","5,4921450",202000000197,154 741 918,A01,1,1,0,2,0,1,5,NULL,202000000197,154 741 918,A01,1,1,4,1,1964,5,2,8,-1,-1," -1",-1,202000000197,3,4,0,A,-1,2,0,2,0,0,1,NULL," -1",2,0,1,50
202000000213,20,9,2020,01:30:00,5,75,75113,2,2,1,3,"RUE DES PEUPLIERS","48,8221500","2,3526890",202000000213,154 741 890,A01,1,1,0,2,1,1,5,NULL,202000000213,154 741 889,B01,1,1,1,1,1987,4,1,0,-1,0,0,-1,202000000213,4,NULL,0,NULL,-1,2,0,2,0,0,1,NULL," -1",1,0,1,50
202000000213,20,9,2020,01:30:00,5,75,75113,2,2,1,3,"RUE DES PEUPLIERS","48,8221500","2,3526890",202000000213,154 741 890,A01,1,1,0,2,1,1,5,NULL,202000000213,154 741 890,A01,2,2,3,2,2001,9,8,0,-1,0,0,-1,202000000213,4,NULL,0,NULL,-1,2,0,2,0,0,1,NULL," -1",1,0,1,50
202000000213,20,9,2020,01:30:00,5,75,75113,2,2,1,3,"RUE DES PEUPLIERS","48,8221500","2,3526890",202000000213,154 741 890,A01,1,1,0,2,1,1,5,NULL,202000000213,154 741 890,A01,1,1,4,1,2000,9,8,0,-1,0,0,-1,202000000213,4,NULL,0,NULL,-1,2,0,2,0,0,1,NULL," -1",1,0,1,50
202000000214,20,9,2020,18:50:00,1,75,75112,2,7,1,-1,"ROUTE DE LA PYRAMIDE","48,8338330","2,4448970",202000000214,154 741 888,Z01,1,1,0,2,4,1,5,NULL,202000000214,154 741 887,A01,1,1,4,1,1978,5,2,0,-1,0,0,-1,202000000214,4,NULL,0,NULL,-1,1,1,1,0,0,1,NULL," -1",1,-1,5,50
202000000214,20,9,2020,18:50:00,1,75,75112,2,7,1,-1,"ROUTE DE LA PYRAMIDE","48,8338330","2,4448970",202000000214,154 741 887,A01,1,1,0,2,1,1,5,NULL,202000000214,154 741 887,A01,1,1,4,1,1978,5,2,0,-1,0,0,-1,202000000214,4,NULL,0,NULL,-1,1,1,1,0,0,1,NULL," -1",1,-1,5,50
202000000216,20,9,2020,15:00:00,1,75,75104,2,3,1,6,"RUE DE RIVOLI","48,8554880","2,3600990",202000000216,154 741 885,A01,1,1,0,0,1,12,5,NULL,202000000216,154 741 885,A01,1,1,4,1,1968,5,8,0,-1,0,0,-1,202000000216,4,NULL,0,NULL,2,4,1,1,0,0,1,NULL," -1",1,-1,5,30
202000000218,20,9,2020,18:15:00,1,94,94034,2,1,1,3,"PASTEUR (BD)","48,7568840","2,3153510",202000000218,154 741 881,B01,1,1,0,2,8,26,5,NULL,202000000218,154 741 881,B01,1,1,4,1,1990,4,2,8,-1,0,0,-1,202000000218,3,127,0,NULL,2,2,0,1,0,1,1,NULL," -1",1,0,1,50
202000000220,20,9,2020,18:20:00,1,94,94071,2,6,1,1,"Avenue Gabriel Péri & Route de la Queue-En-Brie","48,7615579","2,5334328",202000000220,154 741 879,B01,3,1,0,2,7,26,5,NULL,202000000220,154 741 878,A01,1,1,1,1,1983,5,1,0,-1,-1," -1",-1,202000000220,3,"QUEUE EN BRIE (RTE DE LA)",0,NULL,1,1,0,1,(1),(1),2,NULL," -1",1,0,1,50
202000000220,20,9,2020,18:20:00,1,94,94071,2,6,1,1,"Avenue Gabriel Péri & Route de la Queue-En-Brie","48,7615579","2,5334328",202000000220,154 741 879,B01,3,1,0,2,7,26,5,NULL,202000000220,154 741 879,B01,1,1,4,1,1995,5,8,0,-1,-1," -1",-1,202000000220,3,"QUEUE EN BRIE (RTE DE LA)",0,NULL,1,1,0,1,(1),(1),2,NULL," -1",1,0,1,50
202000000225,20,9,2020,17:00:00,1,92,92040,2,6,1,3,"STALINGRAD (QUAI DE)","48,8201781","2,2429183",202000000225,154 741 869,A01,1,1,0,2,3,9,0,NULL,202000000225,154 741 868,B01,1,1,4,1,2005,0,8,0,-1,-1," -1",-1,202000000225,3,7,0,NULL,2,2,1,1,0,0,1,NULL," -1",1,0,5,30
202000000225,20,9,2020,17:00:00,1,92,92040,2,6,1,3,"STALINGRAD (QUAI DE)","48,8201781","2,2429183",202000000225,154 741 868,B01,2,1,0,2,2,1,0,NULL,202000000225,154 741 868,B01,1,1,4,1,2005,0,8,0,-1,-1," -1",-1,202000000225,3,7,0,NULL,2,2,1,1,0,0,1,NULL," -1",1,0,5,30
