RESEAU;STATUT;created_user;created_date;last_edited_user;last_edited_date;st_length(shape);geo_shape;geo_point_2d
vélopolitain;à réaliser;;;;;1925.434611265006;"{""coordinates"": [[2.3588420000718364, 48.90148700035602], [2.358885000011338, 48.89869400025407], [2.3601719998695843, 48.88983399968251], [2.3592279997359027, 48.884246999772806]], ""type"": ""LineString""}";48.89284809954289, 2.3594776276496936
vélopolitain;à réaliser;;;;;106.24160735273733;"{""coordinates"": [[2.318281999681549, 48.824825999894735], [2.3196659993855, 48.824547000107124]], ""type"": ""LineString""}";48.82468650000093, 2.3189739995335246
secondaire;existant;;;;;233.93274010942653;"{""coordinates"": [[2.277088000417867, 48.846014999992214], [2.274405999542775, 48.84715200033132]], ""type"": ""LineString""}";48.84658350016177, 2.275746999980321
secondaire;existant;;;;;448.883951545505;"{""coordinates"": [[2.349765000272617, 48.88323099966009], [2.3496370005581877, 48.88304800037565], [2.3497870000011543, 48.88062100038238], [2.3493470005600052, 48.87924500005652]], ""type"": ""LineString""}";48.88123552760577, 2.349660305135375
vélopolitain;existant;;;;;539.7323770138094;"{""coordinates"": [[2.3151970000686095, 48.862894000266564], [2.3146820000072856, 48.858051999955414]], ""type"": ""LineString""}";48.860473000110986, 2.314939500037948
secondaire;à réaliser;;;;;693.5211028029756;"{""coordinates"": [[2.3683259997324813, 48.84531600022728], [2.3776599995786, 48.84628999981644]], ""type"": ""LineString""}";48.84580300002186, 2.3729929996555406
secondaire;à réaliser;;;;;1813.0154219289896;"{""coordinates"": [[2.3796240002977433, 48.876323999925674], [2.3795809997321773, 48.87647900007694], [2.3790229997260774, 48.876782000373794], [2.3786260005151156, 48.87712100040217], [2.3784109997451695, 48.87753000026665], [2.378283000223384, 48.87790399982736], [2.37828299999346, 48.87832800035329], [2.3784330002667695, 48.8788279996407], [2.378722000056546, 48.87923799998286], [2.3791189994651223, 48.87980199967941], [2.379666999972198, 48.880430000395165], [2.3805679993384876, 48.88132600027707], [2.381382999555938, 48.88189100022876], [2.381951999865076, 48.88224300041086], [2.382928000242719, 48.8825609998482], [2.3843660005134644, 48.882877999716634], [2.3854710005834474, 48.882962999901515], [2.3878740002474874, 48.88319600013313], [2.3887430006813197, 48.88332999955804], [2.3896770005318757, 48.88370399972106], [2.3908890005712364, 48.88419099980985], [2.3919940005465423, 48.8846350003533], [2.3927340005915942, 48.88505099996391], [2.39336700062065, 48.88556599976664], [2.393710999768966, 48.88595399989647], [2.393947000043497, 48.88634199995654]], ""type"": ""LineString""}";48.88206295574683, 2.3849118740804274
secondaire;existant;;;;;458.2761220717963;"{""coordinates"": [[2.318716000558684, 48.89982199989519], [2.3227500002028125, 48.89860899975664], [2.3230500006697117, 48.898412000156306], [2.3231789998885004, 48.89795999986371], [2.323049999786204, 48.897508999923616]], ""type"": ""LineString""}";48.898955692891555, 2.321280011805822
secondaire;à réaliser;;;;;570.9989376492739;"{""coordinates"": [[2.3571249993832715, 48.87939299956612], [2.3591529996939946, 48.88295599983791], [2.3592929999465517, 48.884281999635334]], ""type"": ""LineString""}";48.88177441967051, 2.358405030794761
secondaire;à réaliser;;;;;1807.1418103436877;"{""coordinates"": [[2.3001549996627717, 48.857797999983084], [2.302730000203707, 48.858631000372505], [2.3054980006466197, 48.85935100039678], [2.3085670000761036, 48.85982999996059], [2.311205999794636, 48.85998599968466], [2.3156259994643293, 48.85995800011819], [2.3183080005526335, 48.85981599974585], [2.3215270001917183, 48.85871500042437], [2.323480000590108, 48.857980999617766]], ""type"": ""LineString""}";48.85934731526673, 2.31184545228626
secondaire;à réaliser;;;;;2204.885918928749;"{""coordinates"": [[2.2942970001027785, 48.8649409998939], [2.301206999736579, 48.86841300012163], [2.3052409999120766, 48.870388999656285], [2.3102620006565906, 48.87273200039348], [2.314038000684919, 48.87369199973303], [2.3200040005652434, 48.874678999907886]], ""type"": ""LineString""}";48.87065258527038, 2.3068682116741006
secondaire;à réaliser;;;;;201.27643615469515;"{""coordinates"": [[2.4101900004401324, 48.85586299956137], [2.4104910005312643, 48.8558629997982], [2.4121209997577977, 48.854662999953455]], ""type"": ""LineString""}";48.85534067464021, 2.4111810085061696
