Title,Publication Year,Image URL,Article Content,Article Description,female_mentions,male_mentions,representation
Cyclisme. Les nouveaux vélos sont-ils responsables des chutes à répétition ?,2024,https://media.ouest-france.fr/v1/pictures/MjAyNDA0YTM1NjNlOTliN2E0MDliYzlhYzlhMjA5ZjAyMmI2NDE?width=1260&height=708&focuspoint=50%2C25&cropresize=1&client_id=bpeditorial&sign=0233dc9b3cd437c269e9500d4621033656b7459a4119683f1e70a96d5a4cf3e5,Les coureurs partis à la retraite il y a quelques années doivent se dire quils nont pas fait leur métier avec le même outil de travail que celui quon retrouve actuellement dans les pelotons. Si lon p… [+592 chars],"Les chutes s’enchaînent, en ce début de saison cycliste. Ce jeudi encore, sur le Tour du Pays basque, plusieurs coureurs se sont retrouvés au sol, parmi lesquels Jonas Vingegaard, Primoz Roglic ou Remco Evenepoel. Comment expliquer pareille hécatombe ? Certai…",1,4,male
Cyclisme. Sonny Colbrelli fait fuir des voleurs de vélo la veille de Milan - San Remo,2024,https://media.ouest-france.fr/v1/pictures/MjAyNDAzODhkMjhmN2VhODU5MmRlZWMxMzVmZmJiYjkzMGY3OTk?width=1260&height=708&focuspoint=76%2C61&cropresize=1&client_id=bpeditorial&sign=495f26e0756b3ddd1b7a54f02c99311c22a97f6688f4d554919dac4abb6fcb17,"Sonny Colbrelli na rien perdu de sa pointe de vitesse, à pied en tout cas. À la veille de Milan - San Remo, premier Monument de la saison remporté par Jasper Philipsen (Alpecin-Deceuninck), lItalien … [+1284 chars]","À la veille de Milan - San Remo, vendredi 15 mars, Sonny Colbrelli, directeur sportif de Bahrain-Victorious, a fait fuir un groupe de jeunes qui tentaient de voler les vélos de son équipe. L’Italien les a pris en chasse en voiture avant de mettre les vélos en…",0,3,male
TÉMOIGNAGE. « Une vie chaotique » : les Tarling font bourlinguer leur famille au rythme du cyclisme,2024,https://media.ouest-france.fr/v1/pictures/MjAyNDAzZDk5YjE3ZjRkMDk0NjI0MjYwMGI2ZjQ2ZjU0MzQxMDg?width=1260&height=708&focuspoint=57%2C29&cropresize=1&client_id=bpeditorial&sign=7c48cc90b72bdceca07a7023728fa6bc42fa8ac0528ecb2ee421b1abf7681631,"À la fin du mois de février, Michael Tarling avait un choix à faire. Aller en Galice, admirer la Tour dHercules dominant La Corogne (Espagne), ou alors se rendre à Manchester (Angleterre) et son vélo… [+2014 chars]","Joshua Tarling, nouvelle star du cyclisme mondial, et Finlay, son frère cadet aspirant au même destin, peuvent compter sur le soutien de Michael et Dawn, leurs parents suivant leurs fistons à travers l’Europe. Ils seront présents à Paris pour les Jeux olympiq…",1,2,male
La Roue Tourangelle. À quelle heure et sur quelle chaîne TV suivre la course cycliste en direct ?,2024,https://media.ouest-france.fr/v1/pictures/MjAyNDAzMTY4Yjg2MmYyZWQyNDUxMTgxYzdiMDgxZGEwMDc0ZTM?width=1260&height=708&focuspoint=49%2C43&cropresize=1&client_id=bpeditorial&sign=0a7d70a09b3f520955faa8368c32318b7c461332fdae83221fd519d76597c9df,"La 22e édition de La Roue Tourangelle sera le théâtre de la 5e manche de la Coupe de France de cyclisme ce dimanche.
Vainqueur de lédition 2023, lIrlandais Rory Townsend (Q36.5 Pro Cycling) remettra… [+846 chars]","Ce dimanche 24 mars 2024, la 22e édition de La Roue Tourangelle se tiendra en Indre-et-Loire. Une épreuve qui compte pour la Coupe de France de cyclisme. Horaire, diffusion TV : voici ce qu’il faut savoir pour suivre la course en direct.",3,1,female
Cyclisme. Mathieu Van der Poel estime que les nombreuses chutes sont le fait des coureurs eux-mêmes,2024,https://media.ouest-france.fr/v1/pictures/MjAyNDA0ZDgxMGEwNGQ4NTcxNjZlYjYyZjQ0YWUxNmY1ZGQwMGM?width=1260&height=708&focuspoint=50%2C25&cropresize=1&client_id=bpeditorial&sign=503f478b07dd13c051cc75b8a256181d6091ee2e15eb6d1188a112701556b252,"La quatrième étape du Tour du Pays basque a été le théâtre jeudi dune terrible chute dans laquelle le double vainqueur du Tour de France Jonas Vingegaard sest cassé la clavicule, plusieurs côtes et a… [+2056 chars]","Deux jours avant de tenter de remporter un deuxième Paris-Roubaix consécutif, Mathieu van der Poel a estimé vendredi que les coureurs eux-mêmes représentaient le principal danger dans un cyclisme professionnel marqué par une multiplication des chutes violente…",1,0,female
Liège-Bastogne-Liège et Flèche wallonne : vos souvenirs et vos bons plans,2024,https://www.lalibre.be/resizer/v2/GSGYFB47ZFFQVEGYXXZSE4HRGY.jpg?auth=d82132f5bb0e242d9e28ded407a8a48323a58aa3b41f957bd198ca822afa5ca8&width=1200&height=630&quality=85&focal=3910%2C2608&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2F3R4IDPARFVEO3L2LC5OCCXQ5RM.png%3A100%3A0%2C557,"Dans ce Deuzio spécial Ardennaises, nous vous apporterons tous les bons plans pour bien suivre les courses et en profiter au mieux. Nous avons donc besoin de tous vos conseils pour permettre au publi… [+472 chars]",La Flèche Wallonne (mercredi 17 avril) et Liège-Bastogne-Liège (dimanche 21 avril) sont des moments très attendus par les nombreux passionnés de cyclisme. Mais aussi par le grand public qui se masse en nombre le long des parcours. Avez-vous des bons plans pou…,0,2,male
"Ludivine Henrion, double championne belge de cyclisme sur route, a lu la dictée des Classiques ardennaises aux élèves liégeois",2024,"https://www.dhnet.be/resizer/WFV8XZAT1FC7RhbJK6APwGBt-7Q=/1200x630/filters:format(jpeg):focal(1119x756:1129x746):watermark(cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/KSYODHLMNBBMDA7B5YPJPTFVNY.png,0,-0,0,100)/cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/4P4DTITZWZGCVKZ2R5RLP3U6LY.png","Ludivine Henrion, la double championne de Belgique de cyclisme sur route, a endossé, le temps de quelques heures, le rôle de professeure de français pour la dictée des Classiques ardennaises à lécole… [+1071 chars]","Le thème de la dictée portait bien évidemment sur le cyclisme, et plus précisément sur les Classiques ardennaises. ...",0,0,equal
Les femmes en force au cœur du peloton : le vélo comme vecteur d’émancipation,2024,https://www.lalibre.be/resizer/v2/KCNRT6COUJDCVLE5JVKJYRWRTY.jpg?auth=d89f4478cd4a012806ccbb5acac255f20289d9883690df7dea117066dd75e60e&width=1200&height=630&quality=85&focal=256%2C170&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2F3R4IDPARFVEO3L2LC5OCCXQ5RM.png%3A100%3A0%2C557,"Nous ne sommes bien sûr plus au début XXe, quand la bicyclette était considérée comme un accessoire masculin. Mais les freins à lutilisation du vélo restent plus forts chez les femmes. On identifie … [+5963 chars]""","La Flèche wallonne mercredi, Liège-Bastogne-Liège dimanche, la semaine prochaine, le vélo sera roi. Avec chaque fois des épreuves féminines. Car la petite reine n’a jamais aussi bien porté son nom. ...",4,1,female
cyclisme: Germain Titeux dans tous les coups,2024,"https://www.lavenir.net/resizer/DRDfTpT7rN3dzfaJXcydVzSiSiI=/fit-in/1200x630/filters:format(jpeg):fill(000000):watermark(cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/UFVD77VYQZHRHBUO5OR7E7I6TY.png,0,-0,0,100)/cloudfront-eu-central-1.images.arcpublishing.com/ipmgroup/5VY7SXRLFNCDXKQHEKZZR42AYQ.jpg","Je me sentais vraiment bien"""," raconte le membre de la formation Sprint 2000 Charleroi. ""Je sens que je ne suis pas encore à mon meilleur niveau",0,1,male
"On maigrit plus vite à vélo qu’en course à pied"" : le vrai du faux des bienfaits du vélo pour votre santé""",2024,https://www.lavenir.net/resizer/v2/IHYJPA76NBGKFJQPYNJDYVY7TE.jpg?auth=d6a03692caf861b4a032a9ba49d09355eaf83e65e101454d51631e3f2a9ed5c1&width=1200&height=630&quality=85&fitfill=true&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2FUVYY255VT5BDBHOGCTGBCGI364.png%3A100%3A0%2C558,"Les bienfaits de cette pratique sportive peuvent être répertoriés suivant deux volets""", nous explique Bernard Godon,0,1,male
