Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,num_veh_y,senc,obs,obsm,choc,manv,motor,catr,voie,v1,v2,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,age
201900000690,28,11,2019,0 days 11:25:00,1,92,92012,2,2,1,3,GENERAL LECLERC (AVENUE DU) 35/FIN - 60/,"48,8309329","2,2346122",1,4,2,1947.0,0,8,0,-1,B01,1,0,2,7,15,5,3,910,0.0,,1,7,0,1,1,1,0,1,50,child
201900000690,28,11,2019,0 days 11:25:00,1,92,92012,2,2,1,3,GENERAL LECLERC (AVENUE DU) 35/FIN - 60/,"48,8309329","2,2346122",1,1,2,1992.0,0,1,0,-1,B01,1,0,2,7,15,5,3,910,0.0,,1,7,0,1,1,1,0,1,50,adult
201900000717,28,11,2019,0 days 17:50:00,3,88,88307,1,1,2,3,D460a,"48,0244930","5,8090520",1,1,1,1935.0,5,8,-1,-1,B01,1,0,2,1,15,5,3,460,0.0,A,2,2,0,1,2,2,0,1,80,child
201900000717,28,11,2019,0 days 17:50:00,3,88,88307,1,1,2,3,D460a,"48,0244930","5,8090520",1,3,1,2006.0,5,0,-1,-1,B01,1,0,2,1,15,5,3,460,0.0,A,2,2,0,1,2,2,0,1,80,adult
201900000733,1,9,2019,0 days 15:32:00,1,63,63019,2,1,1,3,SOLEIL LEVANT (RUE DU),"45,7959039","3,1651663",1,1,1,1967.0,4,8,8,-1,B01,3,0,2,1,19,5,4,SOLEIL LEVANT (RUE DU),0.0,,2,2,0,1,1,1,0,1,50,child
201900000733,1,9,2019,0 days 15:32:00,1,63,63019,2,1,1,3,SOLEIL LEVANT (RUE DU),"45,7959039","3,1651663",1,3,1,2004.0,5,8,0,-1,B01,3,0,2,1,19,5,4,SOLEIL LEVANT (RUE DU),0.0,,2,2,0,1,1,1,0,1,50,adult
201900000735,20,9,2019,0 days 22:40:00,5,59,59512,2,6,1,1,AVELGHEM (RUE D'),"50,6946874","3,1949066",1,4,1,1974.0,0,8,0,-1,B01,3,0,0,0,0,5,4,,0.0,,-1,1,1,1,1,1,0,1,50,child
201900000735,20,9,2019,0 days 22:40:00,5,59,59512,2,6,1,1,AVELGHEM (RUE D'),"50,6946874","3,1949066",1,4,1,1996.0,0,1,0,-1,B01,3,0,0,0,0,5,4,,0.0,,-1,1,1,1,1,1,0,1,50,adult
201900000740,19,9,2019,0 days 17:15:00,1,56,56121,2,2,1,3,Rue Louis Guiguen,"47,7557400"," -3,3548100",1,4,1,1963.0,0,2,0,-1,B01,2,0,2,8,1,5,4,Rue de Melun,0.0,,2,2,2,1,1,1,0,1,30,child
201900000740,19,9,2019,0 days 17:15:00,1,56,56121,2,2,1,3,Rue Louis Guiguen,"47,7557400"," -3,3548100",1,1,2,1987.0,5,1,8,-1,B01,2,0,2,8,1,5,4,Rue de Melun,0.0,,2,2,2,1,1,1,0,1,30,adult
201900000750,18,9,2019,0 days 18:50:00,1,41,41018,2,1,1,3,D 766,"47,5827000","1,2976000",1,1,1,1963.0,1,1,8,-1,B01,1,0,2,1,19,5,3,766,0.0,,2,2,0,1,1,1,5,1,50,child
201900000750,18,9,2019,0 days 18:50:00,1,41,41018,2,1,1,3,D 766,"47,5827000","1,2976000",1,4,1,1988.0,1,8,0,-1,B01,1,0,2,1,19,5,3,766,0.0,,2,2,0,1,1,1,5,1,50,adult
201900000774,15,9,2019,0 days 11:00:00,1,22,22278,2,2,1,3,Bd de l'Atlantique,"48,5194100"," -2,7882680",1,4,1,1943.0,5,2,0,-1,A01,1,0,2,0,1,5,4,Bd de L'Atlantique,0.0,,-1,2,0,1,1,1,0,1,50,child
201900000774,15,9,2019,0 days 11:00:00,1,22,22278,2,2,1,3,Bd de l'Atlantique,"48,5194100"," -2,7882680",1,1,1,2008.0,5,2,8,-1,A01,1,0,2,0,1,5,4,Bd de L'Atlantique,0.0,,-1,2,0,1,1,1,0,1,50,adult
201900000815,20,9,2019,0 days 17:20:00,1,75,75104,2,1,1,6,BOULEVARD DU PALAIS,"48,8552101","2,3458059",3,4,2,1964.0,1,0,-1,-1,A01,1,0,1,1,7,5,4,BOULEVARD DU PALAIS,0.0,,1,4,3,1,1,1,0,6,50,child
201900000815,20,9,2019,0 days 17:20:00,1,75,75104,2,1,1,6,BOULEVARD DU PALAIS,"48,8552101","2,3458059",1,1,1,1995.0,9,8,2,-1,A01,1,0,1,1,7,5,4,BOULEVARD DU PALAIS,0.0,,1,4,3,1,1,1,0,6,50,adult
201900000824,20,9,2019,0 days 12:15:00,1,94,94033,2,1,1,1,PIERRE BROSSOLETTE (R),"48,8400000","2,4700000",1,1,2,1982.0,5,1,0,-1,B01,2,0,2,1,1,5,4,PIERRE BROSSOLETTE (R),0.0,,2,1,0,2,1,1,0,1,30,child
201900000824,20,9,2019,0 days 12:15:00,1,94,94033,2,1,1,1,PIERRE BROSSOLETTE (R),"48,8400000","2,4700000",1,4,1,2004.0,2,8,0,-1,B01,2,0,2,1,1,5,4,PIERRE BROSSOLETTE (R),0.0,,2,1,0,2,1,1,0,1,30,adult
